"Series","SMILES","DockScore","MolWt","logP","NumHBD","NumHBA"
"S2","COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CO1",-8.8,285.075,2.5652,2,7
"S12","CSC(=O)NC1=NC2=C(N1)C=C(SC1=CC=CC=C1)C=C2",-8.8,315.05,4.609,2,4
"A2","BrC1=CC=C2N=C(NC2=C1)\C=C\C1=CC=CC=C1",-8.7,298.0106,4.4958,1,2
"E9","CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC",-8.7,345.1147,2.8997,1,6
"H24","c12c(cc3c(c1)[nH]cn3)c(cc1nccc(c21)[C@@H]1C=COC=C1)/C=C\O",-8.7,341.1164,4.9342,2,5
"E5","CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F",-8.6,369.0759,3.5152,1,5
"H16","c12c(cc3c(c1)[nH]cn3)c(cc1ncccc21)/C=C\O",-8.6,261.0902,3.793,2,4
"A3","OC1=CC=C2N=C(NC2=C1)C1=CC=CC=C1",-8.5,210.0793,2.9355,2,3
"D8","c12c3cc4c(c1[nH]c1c5c(nc(c(c3/C=C\O)/C=C/O)c21)ccnc5)[nH]cn4",-8.5,367.1069,4.789,4,7
"S46","[H]C(C1=CC=CS1)C1=CC2=C(C=C1)N=C(NC(=O)OC1=CC=CO1)N2",-8.5,339.0678,4.4191,2,6
"D11","c12c3C[C@H]4[C@H]5[C@@H]1N1c6c7c(nc(cc3/C=C\O)c26)ccnc7[C@H]1N5CN4",-8.4,341.1277,2.3546,2,6
"H21","c1nc2c([nH]1)cnc(/C(=C/N=C/N)/C)c2",-8.4,201.1014,1.3057,3,5
"H28","c12c(cc3c(c1)[nH]cn3)c(cc1nccc(c21)[C@@H]1C=CNC=C1)/C=C\O",-8.4,340.1324,4.5072,3,5
"Cyclobendazole","COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3CC3",-8.4,259.0957,2.3339,2,6
"A4","OC1=NC2=CC=C(C=C2N1)C1=CC=CC=C1",-8.3,210.0793,2.9355,2,3
"H23","[C@H]1(C=COC=C1)c1c(c2c(cc3c(c2)nc[nH]3)c2c1nccc2)/C=C\O",-8.3,341.1164,4.9342,2,5
"M18","c1(nc2c([nH]1)cc(cc2)C(=O)c1ccccc1)Br",-8.3,299.9898,3.5564,1,3
"A12","c1cc2c(cc1)nc([nH]2)c1ccc(cc1)CCl",-8.2,242.0611,3.9687,1,2
"A17","c1(nc2c([nH]1)ccc(c2)C)c1ccc(SC)cc1",-8.2,254.0878,4.2602,1,2
"H13","OC1=CCC(=C1)C1=CC=C2NC=NC2=C1",-8.2,198.0793,2.7919,2,3
"M16","Clc1nc2c([nH]1)cc(cc2)C(=O)c1ccccc1",-8.2,256.0403,3.4473,1,3
